long,interface_used,service_name,status,title,agency_sent_datetime,service_request_id,updated_datetime,media_url,detail,description,lat,service_code,requested_datetime,agency_responsible.recipient,requestor_name,comment_count
-0.025409,iOS,Fly-Tipping,open,Mirror dumped on floor by bin,2021-09-01T13:27:47+01:00,2972031,2021-09-01T13:27:47+01:00,https://www.fixmystreet.com/photo/2972031.0.full.jpeg?355db259,Mirror dumped on floor by bin,Mirror dumped on floor by bin: Mirror dumped on floor by bin,51.484091,Fly-Tipping,2021-09-01T13:27:43+01:00,['Lewisham Borough Council'],,
-0.011332,mobile,Fly-Tipping,open,Several large settees and a toilet plus other rubbish dumped by the tree,2021-09-01T13:27:01+01:00,2971835,2021-09-01T13:27:01+01:00,,Attracting other fly tipping,Several large settees and a toilet plus other rubbish dumped by the tree: Attracting other fly tipping,51.429642,Fly-Tipping,2021-09-01T13:26:55+01:00,['Lewisham Borough Council'],,
-0.023316,iOS,Fly-Tipping,open,Sainsbury’s trolly dumped on pavement,2021-09-01T13:24:23+01:00,2972019,2021-09-01T13:24:23+01:00,https://www.fixmystreet.com/photo/2972019.0.full.jpeg?cf17e5b5,As above,Sainsbury’s trolly dumped on pavement: As above,51.48057,Fly-Tipping,2021-09-01T13:24:23+01:00,['Lewisham Borough Council'],,
-0.024697,Android,Fly-Tipping,open,Rubbish,2021-09-01T12:49:43+01:00,2971900,2021-09-01T12:49:43+01:00,https://www.fixmystreet.com/photo/2971900.0.full.jpeg?70e71ca2,Outside 44-46Vanguard Street,Rubbish: Outside 44-46Vanguard Street,51.473055,Fly-Tipping,2021-09-01T12:49:39+01:00,['Lewisham Borough Council'],,
-0.016915,Android,Fly-Tipping,open,Rubbish on pavement,2021-09-01T11:55:53+01:00,2971453,2021-09-01T11:55:53+01:00,https://www.fixmystreet.com/photo/2971453.0.full.jpeg?bd593076,Old doors left on the pavement outside no 8 Ringstead Road.,Rubbish on pavement: Old doors left on the pavement outside no 8 Ringstead Road.,51.446532,Fly-Tipping,2021-09-01T11:55:51+01:00,['Lewisham Borough Council'],,
-0.011568,mobile,Fly-Tipping,open,Several black bin bags split open and rubbish over pavement and road,2021-09-01T11:47:06+01:00,2971705,2021-09-01T11:47:06+01:00,,Will attract rats and encourage further rubbish to be dumped,Several black bin bags split open and rubbish over pavement and road: Will attract rats and encourage further rubbish to be dumped,51.432692,Fly-Tipping,2021-09-01T11:47:01+01:00,['Lewisham Borough Council'],,
-0.005238,Android,Lewisham Homes,open,Flytipping,2021-09-01T11:43:12+01:00,2971688,2021-09-01T11:43:12+01:00,https://www.fixmystreet.com/photo/2971688.0.full.jpeg?bb83c827,Please remove. Also this all came from a Lewisham Homes property so please inform residents this is unacceptable. Thanks.,Flytipping: Please remove. Also this all came from a Lewisham Homes property so please inform residents this is unacceptable. Thanks.,51.446528,Lewisham Homes,2021-09-01T11:43:11+01:00,['Lewisham Borough Council'],,
-0.005141,Android,Fly-Tipping,open,Furniture,2021-09-01T11:43:04+01:00,2971685,2021-09-01T11:43:04+01:00,https://www.fixmystreet.com/photo/2971685.0.full.jpeg?70e6b0c1,Please remove,Furniture: Please remove,51.446134,Fly-Tipping,2021-09-01T11:43:00+01:00,['Lewisham Borough Council'],,
-0.024533,mobile,Fly-Tipping,open,Flytipping outside 64-66 Vanguard Street,2021-09-01T11:39:46+01:00,2971681,2021-09-01T11:39:46+01:00,https://www.fixmystreet.com/photo/2971681.0.full.jpeg?9470dd70,Rubbish is being added every day since Friday plus a FULL green wheelie bin from Brookmill Road has been abandoned outside,Flytipping outside 64-66 Vanguard Street: Rubbish is being added every day since Friday plus a FULL green wheelie bin from Brookmill Road has been abandoned outside,51.473028,Fly-Tipping,2021-09-01T11:39:41+01:00,['Lewisham Borough Council'],,
-0.01237,Android,Fly-Tipping,open,Fridge dumped outside the block,2021-09-01T09:33:56+01:00,2971238,2021-09-01T09:33:56+01:00,https://www.fixmystreet.com/photo/2971238.0.full.jpeg?12eafaec,Usual fly tipping hotspot. Lewisham council has to take action.,Fridge dumped outside the block: Usual fly tipping hotspot. Lewisham council has to take action.,51.456511,Fly-Tipping,2021-09-01T09:33:52+01:00,['Lewisham Borough Council'],,
